school,amount,sport,deal_description,is_social_media,date
ucsantabarbara,500.0,Men's Basketball,	Appearance without autographs,0,
ucsantabarbara,1000.0,Men's Basketball,	Appearance without autographs,0,
ucsantabarbara,1000.0,Men's Basketball,	Appearance without autographs,0,
ucsantabarbara,2000.0,Men's Basketball,	Appearance without autographs,0,
ucsantabarbara,1000.0,Men's Basketball,	Appearance without autographs,0,
ucsantabarbara,500.0,Men's Basketball,	Appearance without autographs,0,
ucsantabarbara,500.0,Men's Basketball,	Appearance without autographs,0,
ucsantabarbara,1000.0,Men's Basketball,	Other,0,
ucsantabarbara,800.0,Men's Basketball,	Other,0,
ucsantabarbara,500.0,Men's Basketball,	Other,0,
ucsantabarbara,500.0,Men's Basketball,	Autograph Session,0,
ucsantabarbara,500.0,Men's Basketball,	Appearance without autographs,0,
ucsantabarbara,1000.0,Men's Basketball,	Other,0,
ucsantabarbara,5000.0,Men's Basketball,	Appearance without autographs,0,
ucsantabarbara,5000.0,Men's Basketball,	Appearance without autographs,0,
ucsantabarbara,1000.0,Men's Basketball,	Appearance without autographs,0,
ucsantabarbara,1000.0,Men's Basketball,	Other,0,
ucsantabarbara,800.0,Men's Basketball,	Other,0,
ucsantabarbara,2000.0,Men's Basketball,	Appearance without autographs,0,
ucsantabarbara,2000.0,Men's Basketball,	Appearance without autographs,0,
ucsantabarbara,800.0,Men's Basketball,	Appearance without autographs,0,
ucsantabarbara,800.0,Men's Basketball,	Appearance without autographs,0,
ucsantabarbara,800.0,Men's Basketball,	Appearance without autographs,0,
ucsantabarbara,800.0,Men's Basketball,	Appearance without autographs,0,
ucsantabarbara,800.0,Men's Basketball,	Appearance without autographs,0,
ucsantabarbara,800.0,Men's Basketball,	Appearance without autographs,0,
ucsantabarbara,1000.0,Men's Basketball,	Other,0,
ucsantabarbara,1000.0,Men's Basketball,	Appearance without autographs,0,
ucsantabarbara,500.0,Men's Basketball,	Outside Camp,0,
ucsantabarbara,1600.0,Men's Basketball,	Appearance without autographs,0,
ucsantabarbara,400.0,Men's Basketball,	Appearance without autographs,0,
ucsantabarbara,1000.0,Men's Basketball,	Other,0,
ucsantabarbara,2000.0,Men's Basketball,	Appearance without autographs,0,
ucsantabarbara,500.0,Men's Basketball,	Appearance without autographs,0,
ucsantabarbara,1000.0,Men's Basketball,	Other,0,
ucsantabarbara,800.0,Men's Basketball,	Appearance without autographs,0,
ucsantabarbara,1000.0,Men's Basketball,	Appearance without autographs,0,
ucsantabarbara,500.0,Men's Basketball,	Appearance without autographs,0,
ucsantabarbara,50.0,Women's Soccer,	Social Media,1,
ucsantabarbara,2000.0,Men's Basketball,	Other,0,
ucsantabarbara,500.0,Men's Basketball,	Other,0,
ucsantabarbara,1000.0,Men's Basketball,	Other,0,
ucsantabarbara,7083.0,Baseball,Appearance Fee,0,
ucsantabarbara,7083.0,Baseball,Appearance Fee,0,
ucsantabarbara,7083.0,Baseball,Appearance Fee,0,
ucsantabarbara,5000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,5000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,4000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,2000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,2000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,2000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,1500.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,1000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,1000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,1000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,200.0,Women's Track,	Social Media,1,
ucsantabarbara,3000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,4000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,10000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,10000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,10000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,5000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,5000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,4000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,4000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,2000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,2000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,2000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,2000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,1000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,1000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,1000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,1000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,10000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,2500.0,Baseball,Appearance Fee,0,
ucsantabarbara,2500.0,Baseball,Appearance Fee,0,
ucsantabarbara,2500.0,Baseball,Appearance Fee,0,
ucsantabarbara,2500.0,Baseball,Appearance Fee,0,
ucsantabarbara,3750.0,Baseball,Appearance Fee,0,
ucsantabarbara,4000.0,Baseball,Appearance Fee,0,
ucsantabarbara,10000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,5000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,5000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,4000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,4000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,2000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,2000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,2000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,2000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,1000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,1000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,1000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,1000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,10000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,5000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,5000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,4000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,4000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,2000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,2000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,2000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,2000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,1000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,1000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,1000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,1000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,10000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,10000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,2500.0,Baseball,Appearance Fee,0,
ucsantabarbara,2500.0,Baseball,Appearance Fee,0,
ucsantabarbara,4000.0,Baseball,Appearance Fee,0,
ucsantabarbara,3750.0,Baseball,Appearance Fee,0,
ucsantabarbara,2000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,10000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,4000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,10000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,1000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,300.0,Women's Soccer,	Outside Camp,0,
ucsantabarbara,1000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,3000.0,Baseball,	Autograph Session,0,
ucsantabarbara,10000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,10000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,10000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,10000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,10000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,10000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,4000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,3000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,3000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,3000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,2000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,1000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,1000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,1000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,5000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,1000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,2000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,3000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,11000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,5000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,10000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,3750.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,9100.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,10000.0,Baseball,Appearance Fee,0,
ucsantabarbara,14.62,Women's Soccer,	Other,0,
ucsantabarbara,1000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,5000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,3000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,6875.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,6250.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,4000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,3000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,3000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,3000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,3000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,2000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,9000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,1000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,1000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,1000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,1000.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,6250.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,6875.0,Men's Basketball,Appearance Fee,0,
ucsantabarbara,77.28,Women's Volleyball,	Social Media,1,
sandiegostate1,15928.0,FB,Other,0,
sandiegostate1,2735.0,WTR,Other,0,
sandiegostate1,2695.0,XC,Other,0,
sandiegostate1,610.0,WSO,Other,0,
sandiegostate1,580.0,SB,Other,0,
sandiegostate1,570.0,MGO,Other,0,
sandiegostate1,500.0,MSO,Other,0,
sandiegostate1,500.0,WGO,Other,0,
sandiegostate1,300.0,WTE,Other,0,
sandiegostate1,230.0,WSW,Other,0,
sandiegostate1,215.0,WWP,Other,0,
sandiegostate1,215.0,VB,Other,0,
sandiegostate1,210.0,BA,Other,0,
sandiegostate1,185.0,MBB,Other,0,
sandiegostate1,170.0,WBB,Other,0,
sandiegostate1,50.0,MTE,Other,0,
sandiegostate1,30.0,LAX,Other,0,
sandiegostate1,219450.0,MBB,Other,0,
sandiegostate1,37059.0,FB,Other,0,
sandiegostate1,14036.0,WTR,Other,0,
sandiegostate1,13511.0,XC,Other,0,
sandiegostate1,810.0,SB,Other,0,
sandiegostate1,778.0,VB,Other,0,
sandiegostate1,710.0,WSO,Other,0,
sandiegostate1,550.0,WGO,Other,0,
