school,sport,year,is_social_media,avg_transaction_value
calpolyslo,Football,2024,0,2000.0
csulongbeach,Basketball,2022,0,1000.0
csulongbeach,Basketball,2022,1,360.0
csulongbeach,Basketball,2023,1,243.0909090909091
csulongbeach,Basketball,2024,0,642.8571428571429
csulongbeach,Basketball,2024,1,205.53333333333333
csulongbeach,Beach Volleyball,2023,0,50.0
csulongbeach,Beach Volleyball,2024,1,565.75
csulongbeach,Soccer,2024,0,125.0
csulongbeach,Track and Field,2022,0,100.0
csulongbeach,Track and Field,2022,1,50.0
csulongbeach,Track and Field,2023,0,125.0
csulongbeach,Track and Field,2023,1,390.0
csulongbeach,Track and Field,2024,1,65.0
csulongbeach,Volleyball,2021,0,200.0
csulongbeach,Volleyball,2022,1,1500.0
csulongbeach,Volleyball,2023,1,560.625
csulongbeach,Volleyball,2024,0,787.5
csulongbeach,Volleyball,2024,1,75.0
csulongbeach,Water Polo,2022,1,155.0
sacramentostate1,Other,2021,0,112.5
sacramentostate1,Other,2021,1,297.334
sacramentostate1,Other,2022,1,158.84615384615384
sacramentostate2,Baseball,2023,0,10.0
sacramentostate2,Baseball,2023,1,105.0
sacramentostate2,Baseball,2024,0,100.0
sacramentostate2,Baseball,2024,1,120.0
sacramentostate2,Basketball,2023,1,150.0
sacramentostate2,Basketball,2024,1,80.0
sacramentostate2,Football,2022,1,5000.0
sacramentostate2,Football,2023,0,535.7142857142857
sacramentostate2,Football,2023,1,393.3333333333333
sacramentostate2,Football,2024,0,300.0
sacramentostate2,Football,2024,1,100.0
sacramentostate2,Gymnastics,2023,1,10.0
sacramentostate2,Gymnastics,2024,0,389.3333333333333
sacramentostate2,Soccer,2022,1,150.0
sacramentostate2,Soccer,2023,1,105.0
sacramentostate2,Soccer,2024,0,65.0
sacramentostate2,Softball,2023,1,96.44333333333333
sacramentostate2,Softball,2024,1,150.0
sacramentostate2,Tennis,2024,1,500.0
sacramentostate2,Track and Field,2022,0,43.333333333333336
sacramentostate2,Track and Field,2022,1,50.0
sacramentostate2,Track and Field,2023,0,75.0
sacramentostate2,Track and Field,2023,1,200.0
sacramentostate2,Track and Field,2024,1,300.0
sacramentostate3,Baseball,2021,0,10.0
sacramentostate3,Baseball,2022,0,10.0
sacramentostate3,Baseball,2023,0,78.33333333333333
